,Gene,Transcription Rates mRNA/hr,Key,Value
1041,HXT3,13,,
1042,HXT4,11,,
1043,HXT5,#N/A-nc,,
1044,HXT6,22,,
1045,HXT7,24,,
1046,HXT8,12,,
1047,HXT9,13,,
1048,HYM1,16,,
1049,HYR1,18,,
1050,IAH1,17,,
1051,ICL1,13,,
1052,ICL2,10,,
1053,IDH1,19,,
1054,IDH2,20,,
1055,IDI1,12,,
1056,IDP1,20,,
1057,IDP2,#N/A-se,,
1058,IDP3,22,,
1059,IDS2,#N/A-nc,,
1060,IFH1,24,,
1061,IFM1,34,,
1062,IKI1,14,,
1063,IKI3,15,,
1064,IKS1,28,,
1065,ILS1,15,,
1066,ILV1,16,,
1067,ILV2,17,,
1068,ILV3,13,,
1069,ILV5,11,,
1070,ILV6,50,,
1071,IME1,#N/A-nc,,
1072,IME2,15,,
1073,IME4,#N/A-se,,
1074,IMG2,27,,
1075,IMH1,23,,
1076,IMP1,16,,
1077,IMP2,12,,
1078,INH1,10,,
1079,INO1,24,,
1080,INO2,15,,
1081,INO4,16,,
1082,INP51,16,,
1083,INP52,19,,
1084,INP53,24,,
1085,INP54,30,,
1086,IPL1,#N/A-nc,,
1087,IPP1,36,,
1088,IPT1,16,,
1089,IQG1,30,,
1090,IRA1,#N/A-se,,
1091,IRA2,47,,
1092,IRE1,10,,
1093,IRR1,17,,
1094,IRS4,21,,
1095,ISC10,13,,
1096,ISM1,11,,
1097,ISR1,26,,
1098,ISW1,14,,
1099,ISW2,17,,
1100,ITR1,9,,
1101,ITR2,13,,
1102,IXR1,#N/A-nc,,
1103,JA2,14,,
1104,JAC1,#N/A-nc,,
1105,JEM1,22,,
1106,JEN1,16,,
1107,JNM1,15,,
1108,JSN1,25,,
1109,KAP104,16,,
1110,KAP121,14,,
1111,KAP123,13,,
1112,KAP95,21,,
1113,KAR1,10,,
1114,KAR2,20,,
1115,KAR3,15,,
1116,KAR4,16,,
1117,KAR5,23,,
1118,KAR9,#N/A-nc,,
1119,KCS1,12,,
1120,KEL1,16,,
1121,KEL2,#N/A-nc,,
1122,KEL3,12,,
1123,KEM1,18,,
1124,KES1,15,,
1125,KEX1,26,,
1126,KEX2,21,,
1127,KGD1,29,,
1128,KGD2,21,,
1129,KIM2,23,,
1130,KIM3,15,,
1131,KIM4,19,,
1132,KIN1,18,,
1133,KIN2,17,,
1134,KIN28,15,,
