,Gene,Transcription Rates mRNA/hr,Key,Value
3262,YCR006C,12,YCR006C,
3263,YCR007C,#N/A-se,,
3264,YCR010C,#N/A-nc,,
3265,YCR013C,19,YCR013C,
3266,YCR015C,#N/A-se,,
3267,YCR016W,12,YCR016W,
3268,YCR017C,34,YCR017C,CWH43
3269,YCR022C,#N/A-se,,
3270,YCR023C,30,YCR023C,
3271,YCR024C,68,YCR024C,SLM5
3272,YCR024CA,20,,
3273,YCR025C,#N/A-se,,
3274,YCR026C,77,YCR026C,NPP1
3275,YCR027C,21,YCR027C,RHB1
3276,YCR029C,51,,
3277,YCR030C,#N/A-nc,,
3278,YCR033W,84,YCR033W,SNT1
3279,YCR041W,45,YCR041W,
3280,YCR043C,29,YCR043C,
3281,YCR044C,16,YCR044C,PER1
3282,YCR045C,#N/A-nc,,
3283,YCR047C,9,YCR047C,BUD23
3284,YCR049C,#N/A-se,,
3285,YCR050C,21,YCR050C,
3286,YCR051W,15,YCR051W,
3287,YCR056W,43,,
3288,YCR057C,15,YCR057C,PWP2
3289,YCR058C,17,,
3290,YCR059C,14,YCR059C,YIH1
3291,YCR060W,14,YCR060W,TAH1
3292,YCR061W,19,YCR061W,
3293,YCR062W,26,,
3294,YCR063W,#N/A-nc,,
3295,YCR064C,#N/A-nc,,
3296,YCR068W,31,YCR068W,ATG15
3297,YCR070W,43,,
3298,YCR072C,14,YCR072C,RSA4
3299,YCR074C,#N/A-nc,,
3300,YCR076C,28,YCR076C,FUB1
3301,YCR079W,42,YCR079W,PTC6
3302,YCR081W,48,YCR081W,SRB8
3303,YCR082W,49,YCR082W,AHC2
3304,YCR083W,45,YCR083W,TRX3
3305,YCR085W,16,YCR085W,
3306,YCR086W,18,YCR086W,CSM1
3307,YCR087CA,8,,
3308,YCR087W,15,YCR087W,
3309,YCR090C,16,YCR090C,
3310,YCR095C,#N/A-se,,
3311,YCR099C,#N/A-se,,
3312,YCR100C,#N/A-nc,,
3313,YCR101C,#N/A-se,,
3314,YCR102C,18,YCR102C,
3315,YCR103C,13,,
3316,YCR105W,26,YCR105W,ADH7
3317,YCR106W,20,YCR106W,RDS1
3318,YCR107W,15,YCR107W,AAD3
3319,YDJ1,19,,
3320,YDL001W,12,YDL001W,RMD1
3321,YDL009C,24,YDL009C,
3322,YDL010W,25,YDL010W,GRX6
3323,YDL011C,52,YDL011C,
3324,YDL012C,27,YDL012C,
3325,YDL015C,22,YDL015C,TSC13
3326,YDL016C,#N/A-nc,,
3327,YDL018C,15,YDL018C,ERP3
3328,YDL019C,14,YDL019C,OSH2
3329,YDL023C,#N/A-nc,,
3330,YDL024C,9,YDL024C,DIA3
3331,YDL025C,29,YDL025C,RTK1
3332,YDL026W,#N/A-nc,,
3333,YDL027C,#N/A-nc,,
3334,YDL031W,13,YDL031W,DBP10
3335,YDL032W,#N/A-se,,
3336,YDL033C,23,YDL033C,SLM3
3337,YDL034W,#N/A-se,,
3338,YDL036C,11,YDL036C,PUS9
3339,YDL037C,11,YDL037C,BSC1
3340,YDL038C,11,,
3341,YDL039C,12,YDL039C,PRM7
3342,YDL041W,24,YDL041W,
3343,YDL046W,20,YDL046W,NPC2
3344,YDL050C,11,YDL050C,
3345,YDL053C,23,YDL053C,PBP4
3346,YDL054C,16,YDL054C,MCH1
3347,YDL057W,24,YDL057W,
3348,YDL060W,8,YDL060W,TSR1
3349,YDL062W,23,YDL062W,
3350,YDL063C,12,YDL063C,SYO1
3351,YDL068W,79,YDL068W,
3352,YDL071C,#N/A-nc,,
3353,YDL072C,22,YDL072C,YET3
3354,YDL073W,#N/A-nc,,
3355,YDL074C,17,YDL074C,BRE1
3356,YDL076C,17,YDL076C,RXT3
3357,YDL085W,19,YDL085W,NDE2
3358,YDL086W,21,YDL086W,
3359,YDL089W,#N/A-nc,,
3360,YDL091C,22,YDL091C,UBX3
3361,YDL094C,19,YDL094C,
3362,YDL096C,21,YDL096C,OPI6
3363,YDL098C,12,YDL098C,SNU23
3364,YDL099W,18,YDL099W,BUG1
3365,YDL100C,23,YDL100C,GET3
3366,YDL109C,16,YDL109C,
3367,YDL110C,27,YDL110C,TMA17
3368,YDL112W,12,YDL112W,TRM3
3369,YDL113C,#N/A-nc,,
3370,YDL114W,#N/A-nc,,
3371,YDL115C,26,YDL115C,IWR1
3372,YDL117W,16,YDL117W,CYK3
3373,YDL118W,13,YDL118W,
3374,YDL119C,24,YDL119C,HEM25
3375,YDL121C,11,YDL121C,
3376,YDL123W,26,YDL123W,SNA4
3377,YDL124W,14,YDL124W,
3378,YDL129W,11,YDL129W,
3379,YDL133W,26,YDL133W,SRF1
3380,YDL139C,#N/A-se,,
3381,YDL144C,13,YDL144C,
3382,YDL146W,20,YDL146W,LDB17
3383,YDL148C,12,YDL148C,NOP14
3384,YDL149W,#N/A-nc,,
3385,YDL151C,#N/A-nc,,
3386,YDL152W,13,YDL152W,
3387,YDL156W,14,YDL156W,CMR1
3388,YDL157C,18,YDL157C,
3389,YDL158C,18,YDL158C,
3390,YDL161W,21,YDL161W,ENT1
3391,YDL162C,#N/A-nc,,
3392,YDL163W,24,YDL163W,
3393,YDL166C,11,YDL166C,FAP7
3394,YDL172C,15,YDL172C,
3395,YDL173W,21,YDL173W,PAR32
3396,YDL175C,37,YDL175C,AIR2
3397,YDL176W,25,YDL176W,
3398,YDL177C,17,YDL177C,
3399,YDL180W,31,YDL180W,
3400,YDL183C,16,YDL183C,
3401,YDL186W,#N/A-nc,,
3402,YDL187C,#N/A-nc,,
3403,YDL189W,16,YDL189W,RBS1
3404,YDL193W,34,YDL193W,NUS1
3405,YDL196W,30,YDL196W,
3406,YDL199C,#N/A-nc,,
3407,YDL201W,10,YDL201W,TRM8
3408,YDL203C,#N/A-nc,,
3409,YDL204W,25,YDL204W,RTN2
3410,YDL206W,16,YDL206W,
3411,YDL209C,48,YDL209C,CWC2
3412,YDL211C,20,YDL211C,
3413,YDL213C,14,YDL213C,NOP6
3414,YDL214C,19,YDL214C,PRR2
3415,YDL216C,17,YDL216C,RRI1
3416,YDL218W,#N/A-nc,,
3417,YDL219W,10,YDL219W,DTD1
3418,YDL221W,#N/A-se,,
3419,YDL222C,#N/A-nc,,
3420,YDL223C,38,YDL223C,HBT1
3421,YDL225W,18,YDL225W,SHS1
3422,YDL228C,17,YDL228C,
3423,YDL231C,16,YDL231C,BRE4
3424,YDL233W,#N/A-nc,,
3425,YDL237W,13,YDL237W,AIM6
3426,YDL238C,#N/A-se,,
3427,YDL239C,30,YDL239C,ADY3
3428,YDL241W,16,YDL241W,
3429,YDL242W,30,YDL242W,
3430,YDL243C,39,YDL243C,AAD4
3431,YDL244W,26,YDL244W,THI13
3432,YDL246C,15,YDL246C,SOR2
3433,YDL247W,#N/A-nc,,
3434,YDR003W,20,YDR003W,RCR2
3435,YDR008C,16,YDR008C,
3436,YDR010C,#N/A-se,,
3437,YDR013W,20,YDR013W,PSF1
3438,YDR014W,13,YDR014W,RAD61
3439,YDR015C,#N/A-nc,,
3440,YDR016C,17,YDR016C,DAD1
3441,YDR018C,#N/A-nc,,
3442,YDR020C,19,YDR020C,DAS2
3443,YDR024W,#N/A-nc,,
3444,YDR026C,#N/A-nc,,
3445,YDR027C,20,YDR027C,VPS54
3446,YDR029W,#N/A-nc,,
3447,YDR031W,18,YDR031W,MIX14
3448,YDR032C,24,YDR032C,PST2
3449,YDR033W,11,YDR033W,MRH1
3450,YDR036C,12,YDR036C,EHD3
3451,YDR041W,18,YDR041W,RSM10
3452,YDR042C,15,YDR042C,
3453,YDR045C,13,YDR045C,RPC11
3454,YDR048C,#N/A-nc,,
3455,YDR049W,14,YDR049W,VMS1
3456,YDR051C,17,YDR051C,DET1
3457,YDR053W,15,YDR053W,
3458,YDR055W,15,YDR055W,PST1
3459,YDR056C,16,YDR056C,EMC10
3460,YDR057W,20,YDR057W,YOS9
3461,YDR060W,11,YDR060W,MAK21
3462,YDR061W,19,YDR061W,
3463,YDR063W,15,YDR063W,AIM7
3464,YDR065W,15,YDR065W,RRG1
3465,YDR066C,16,YDR066C,RTR2
3466,YDR067C,27,YDR067C,OCA6
3467,YDR070C,55,YDR070C,FMP16
3468,YDR071C,20,YDR071C,PAA1
3469,YDR078C,#N/A-se,,
3470,YDR083W,10,YDR083W,RRP8
3471,YDR084C,11,YDR084C,TVP23
3472,YDR089W,17,YDR089W,VTC5
3473,YDR090C,18,YDR090C,
3474,YDR091C,13,YDR091C,RLI1
3475,YDR093W,12,YDR093W,DNF2
3476,YDR094W,14,YDR094W,
3477,YDR095C,#N/A-se,,
3478,YDR098C,13,YDR098C,GRX3
3479,YDR100W,16,YDR100W,TVP15
3480,YDR101C,9,YDR101C,ARX1
3481,YDR102C,#N/A-nc,,
3482,YDR104C,22,YDR104C,SPO71
3483,YDR105C,17,YDR105C,TMS1
3484,YDR107C,12,YDR107C,TMN2
3485,YDR109C,#N/A-nc,,
3486,YDR111C,19,YDR111C,ALT2
3487,YDR112W,#N/A-se,,
3488,YDR114C,12,YDR114C,
3489,YDR115W,15,YDR115W,MRX14
3490,YDR116C,14,YDR116C,MRPL1
3491,YDR117C,19,YDR117C,TMA64
3492,YDR119W,11,YDR119W,VBA4
3493,YDR121W,14,YDR121W,DPB4
3494,YDR124W,#N/A-nc,,
3495,YDR126W,20,YDR126W,SWF1
3496,YDR128W,18,YDR128W,MTC5
3497,YDR130C,21,YDR130C,FIN1
3498,YDR131C,14,YDR131C,
3499,YDR132C,16,YDR132C,
3500,YDR133C,29,YDR133C,
3501,YDR134C,19,YDR134C,
3502,YDR136C,#N/A-nc,,
3503,YDR140W,14,YDR140W,MTQ2
3504,YDR141C,#N/A-nc,,
3505,YDR147W,14,YDR147W,EKI1
3506,YDR149C,#N/A-nc,,
3507,YDR152W,23,YDR152W,GIR2
3508,YDR153C,15,YDR153C,ENT5
3509,YDR154C,17,YDR154C,
3510,YDR157W,14,YDR157W,
3511,YDR163W,20,YDR163W,CWC15
3512,YDR165W,11,YDR165W,TRM82
3513,YDR175C,17,YDR175C,RSM24
3514,YDR179C,19,YDR179C,CSN9
3515,YDR179WA,13,,
3516,YDR183W,15,YDR183W,PLP1
3517,YDR185C,59,YDR185C,UPS3
3518,YDR186C,16,YDR186C,SND1
3519,YDR187C,#N/A-nc,,
3520,YDR190C,16,YDR190C,RVB1
3521,YDR193W,18,YDR193W,
3522,YDR196C,21,YDR196C,CAB5
3523,YDR198C,12,YDR198C,RKM2
3524,YDR199W,#N/A-se,,
3525,YDR200C,19,YDR200C,VPS64
3526,YDR201W,11,YDR201W,SPC19
3527,YDR202C,26,YDR202C,RAV2
3528,YDR203W,#N/A-se,,
3529,YDR205W,18,YDR205W,MSC2
3530,YDR206W,35,YDR206W,EBS1
3531,YDR209C,22,YDR209C,
3532,YDR210W,20,YDR210W,
3533,YDR213W,12,YDR213W,UPC2
3534,YDR214W,27,YDR214W,AHA1
3535,YDR215C,#N/A-nc,,
3536,YDR219C,31,YDR219C,MFB1
3537,YDR220C,25,YDR220C,
3538,YDR221W,42,YDR221W,GTB1
3539,YDR222W,15,YDR222W,
3540,YDR223W,#N/A-nc,,
3541,YDR229W,18,YDR229W,IVY1
3542,YDR230W,#N/A-se,,
3543,YDR231C,17,YDR231C,COX20
3544,YDR233C,11,YDR233C,RTN1
3545,YDR236C,18,YDR236C,FMN1
3546,YDR239C,14,YDR239C,
3547,YDR241W,21,YDR241W,BUD26
3548,YDR246W,15,YDR246W,TRS23
3549,YDR247W,22,YDR247W,VHS1
3550,YDR248C,12,YDR248C,
3551,YDR249C,19,YDR249C,
3552,YDR250C,55,YDR250C,
3553,YDR255C,29,YDR255C,RMD5
3554,YDR260C,11,YDR260C,SWM1
3555,YDR262W,48,YDR262W,
3556,YDR266C,14,YDR266C,HEL2
3557,YDR267C,12,YDR267C,CIA1
3558,YDR269C,#N/A-se,,
3559,YDR271C,24,YDR271C,
3560,YDR273W,#N/A-nc,,
3561,YDR274C,#N/A-se,,
3562,YDR275W,13,YDR275W,BSC2
3563,YDR276C,13,YDR276C,PMP3
3564,YDR278C,#N/A-nc,,
3565,YDR279W,12,YDR279W,RNH202
3566,YDR280W,12,YDR280W,RRP45
3567,YDR281C,15,YDR281C,PHM6
3568,YDR282C,16,YDR282C,MRX10
3569,YDR286C,15,YDR286C,
3570,YDR287W,18,YDR287W,INM2
3571,YDR288W,22,YDR288W,NSE3
3572,YDR289C,30,YDR289C,RTT103
3573,YDR290W,44,YDR290W,
3574,YDR291W,#N/A-nc,,
3575,YDR295C,17,YDR295C,HDA2
3576,YDR296W,18,YDR296W,MHR1
3577,YDR302W,11,YDR302W,GPI11
3578,YDR303C,12,YDR303C,RSC3
3579,YDR306C,16,YDR306C,
3580,YDR307W,21,YDR307W,PMT7
3581,YDR313C,#N/A-nc,,
3582,YDR314C,#N/A-nc,,
3583,YDR315C,16,YDR315C,IPK1
3584,YDR316W,18,YDR316W,OMS1
3585,YDR317W,15,YDR317W,HIM1
3586,YDR319C,18,YDR319C,YFT2
3587,YDR320C,13,YDR320C,SWA2
3588,YDR324C,10,YDR324C,UTP4
3589,YDR325W,17,YDR325W,YCG1
3590,YDR326C,47,YDR326C,YSP2
3591,YDR327W,21,YDR327W,
3592,YDR330W,31,YDR330W,UBX5
3593,YDR332W,23,YDR332W,IRC3
3594,YDR333C,#N/A-nc,,
3595,YDR334W,14,YDR334W,SWR1
3596,YDR336W,12,YDR336W,MRX8
3597,YDR338C,19,YDR338C,
3598,YDR339C,15,YDR339C,FCF1
3599,YDR340W,#N/A-se,,
3600,YDR341C,11,YDR341C,
3601,YDR344C,#N/A-se,,
3602,YDR346C,13,YDR346C,SVF1
3603,YDR348C,12,YDR348C,PAL1
3604,YDR352W,14,YDR352W,YPQ2
3605,YDR355C,#N/A-se,,
3606,YDR357C,19,YDR357C,CNL1
3607,YDR358W,50,YDR358W,GGA1
3608,YDR359C,#N/A-nc,,
3609,YDR360W,#N/A-se,,
3610,YDR361C,9,YDR361C,BCP1
3611,YDR365C,10,YDR365C,ESF1
3612,YDR366C,21,YDR366C,
3613,YDR367W,12,YDR367W,KEI1
3614,YDR370C,19,YDR370C,DXO1
3615,YDR371W,40,YDR371W,CTS2
3616,YDR372C,27,YDR372C,VPS74
3617,YDR373W,19,YDR373W,FRQ1
3618,YDR374C,25,YDR374C,PHO92
3619,YDR378C,14,YDR378C,LSM6
3620,YDR380W,17,YDR380W,ARO10
3621,YDR383C,17,YDR383C,NKP1
3622,YDR384C,12,YDR384C,ATO3
3623,YDR386W,20,YDR386W,MUS81
3624,YDR387C,29,YDR387C,CIN10
3625,YDR391C,28,YDR391C,
3626,YDR396W,#N/A-nc,,
3627,YDR398W,11,YDR398W,UTP5
3628,YDR400W,11,YDR400W,URH1
3629,YDR401W,#N/A-nc,,
3630,YDR407C,19,YDR407C,TRS120
3631,YDR409W,17,YDR409W,SIZ1
3632,YDR411C,29,YDR411C,DFM1
3633,YDR412W,11,YDR412W,RRP17
3634,YDR413C,#N/A-nc,,
3635,YDR415C,13,YDR415C,
3636,YDR417C,#N/A-nc,,
3637,YDR421W,21,YDR421W,ARO80
3638,YDR425W,48,YDR425W,SNX41
3639,YDR426C,43,YDR426C,
3640,YDR428C,9,YDR428C,BNA7
3641,YDR430C,16,YDR430C,CYM1
3642,YDR431W,31,YDR431W,
3643,YDR433W,15,YDR433W,
3644,YDR434W,25,YDR434W,GPI17
3645,YDR435C,14,YDR435C,PPM1
3646,YDR437W,#N/A-nc,,
3647,YDR438W,18,YDR438W,THI74
3648,YDR442W,#N/A-nc,,
3649,YDR444W,17,YDR444W,
3650,YDR445C,22,YDR445C,
3651,YDR449C,15,YDR449C,UTP6
3652,YDR451C,14,YDR451C,YHP1
3653,YDR452W,61,YDR452W,PPN1
3654,YDR453C,12,YDR453C,TSA2
3655,YDR455C,#N/A-nc,,
3656,YDR458C,35,YDR458C,HEH2
3657,YDR459C,15,YDR459C,PFA5
3658,YDR465C,10,YDR465C,RMT2
3659,YDR466W,15,YDR466W,PKH3
3660,YDR467C,28,YDR467C,
3661,YDR469W,21,YDR469W,SDC1
3662,YDR470C,13,YDR470C,UGO1
3663,YDR472W,13,YDR472W,TRS31
3664,YDR473C,14,YDR473C,PRP3
3665,YDR474C,18,,
3666,YDR475C,19,YDR475C,JIP4
3667,YDR476C,15,YDR476C,
3668,YDR479C,26,YDR479C,PEX29
3669,YDR482C,10,YDR482C,CWC21
3670,YDR485C,21,YDR485C,VPS72
3671,YDR486C,32,YDR486C,VPS60
3672,YDR489W,15,YDR489W,SLD5
3673,YDR490C,26,YDR490C,PKH1
3674,YDR491C,#N/A-nc,,
3675,YDR492W,13,YDR492W,IZH1
3676,YDR493W,11,YDR493W,MZM1
3677,YDR494W,16,YDR494W,RSM28
3678,YDR496C,12,YDR496C,PUF6
3679,YDR499W,18,YDR499W,LCD1
3680,YDR501W,#N/A-nc,,
3681,YDR504C,29,YDR504C,SPG3
3682,YDR506C,13,YDR506C,GMC1
3683,YDR509W,17,YDR509W,
3684,YDR511W,15,YDR511W,SDH7
3685,YDR512C,13,YDR512C,EMI1
3686,YDR514C,15,YDR514C,
3687,YDR516C,20,YDR516C,EMI2
3688,YDR517W,11,YDR517W,GRH1
3689,YDR520C,20,YDR520C,URC2
3690,YDR521W,39,YDR521W,
3691,YDR524C,23,YDR524C,AGE1
3692,YDR525W,#N/A-nc,,
3693,YDR526C,13,YDR526C,
3694,YDR527W,11,YDR527W,RBA50
3695,YDR528W,14,YDR528W,HLR1
3696,YDR531W,12,YDR531W,CAB1
3697,YDR532C,19,YDR532C,KRE28
3698,YDR533C,15,YDR533C,HSP31
3699,YDR534C,#N/A-nc,,
3700,YDR535C,#N/A-se,,
3701,YDR537C,#N/A-se,,
3702,YDR539W,12,YDR539W,FDC1
3703,YDR540C,#N/A-nc,,
3704,YDR541C,#N/A-nc,,
3705,YDR542C,#N/A-nc,,
3706,YDR543C,#N/A-nc,,
3707,YDR544C,#N/A-se,,
3708,YDR545W,14,YDR545W,YRF1-1
3709,YEA4,15,,
3710,YEF3,11,,
3711,YEF3B,14,,
3712,YEL001C,13,YEL001C,IRC22
3713,YEL005C,18,YEL005C,VAB2
3714,YEL006W,13,YEL006W,YEA6
3715,YEL007W,10,YEL007W,MIT1
3716,YEL008W,25,YEL008W,
3717,YEL010W,#N/A-nc,,
3718,YEL014C,#N/A-nc,,
3719,YEL015W,15,YEL015W,EDC3
3720,YEL016C,13,YEL016C,NPP2
3721,YEL017CA,14.5,,
3722,YEL017W,#N/A-nc,,
3723,YEL018W,13,YEL018W,EAF5
3724,YEL020C,16,YEL020C,PXP1
3725,YEL023C,10,YEL023C,
3726,YEL025C,15,YEL025C,
3727,YEL026W,15,YEL026W,SNU13
3728,YEL028W,#N/A-nc,,
3729,YEL029C,#N/A-nc,,
3730,YEL033W,#N/A-nc,,
3731,YEL041W,27,YEL041W,YEF1
3732,YEL043W,18,YEL043W,
3733,YEL044W,11,YEL044W,IES6
3734,YEL045C,29,YEL045C,
3735,YEL047C,16,YEL047C,FRD1
3736,YEL048C,#N/A-nc,,
3737,YEL057C,11,YEL057C,SDD1
3738,YEL059W,#N/A-se,,
3739,YEL064C,15,YEL064C,AVT2
3740,YEL065W,29,YEL065W,SIT1
3741,YEL067C,13,YEL067C,
3742,YEL068C,10,YEL068C,
3743,YEL070W,#N/A-nc,,
3744,YEL071W,21,YEL071W,DLD3
3745,YEL072W,32,YEL072W,RMD6
3746,YEL073C,#N/A-se,,
3747,YEL074W,#N/A-se,,
3748,YEL075C,18,YEL075C,
3749,YEL076C,12,YEL076C,
3750,YEL076CA,16,,
3751,YEL076WC,#N/A-nc,,
3752,YEL077C,13,YEL077C,
3753,YER002W,18,YER002W,NOP16
3754,YER004W,#N/A-se,,
3755,YER005W,14,YER005W,YND1
3756,YER006W,13,YER006W,NUG1
3757,YER007CA,12,,
3758,YER010C,15,YER010C,
3759,YER018C,#N/A-nc,,
3760,YER019W,14,YER019W,ISC1
3761,YER024W,17,YER024W,YAT2
3762,YER028C,14,YER028C,MIG3
3763,YER030W,13,YER030W,CHZ1
3764,YER033C,30,YER033C,ZRG8
3765,YER034W,13,YER034W,
3766,YER035W,30,YER035W,EDC2
3767,YER036C,14,YER036C,ARB1
3768,YER037W,40,YER037W,PHM8
3769,YER038C,#N/A-nc,,
3770,YER041W,#N/A-nc,,
3771,YER044C,22,YER044C,ERG28
3772,YER045C,19,YER045C,ACA1
3773,YER046W,13,YER046W,SPO73
3774,YER049W,12,YER049W,TPA1
3775,YER050C,21,YER050C,RSM18
3776,YER051W,#N/A-nc,,
3777,YER053C,41,YER053C,PIC2
3778,YER063W,17,YER063W,THO1
3779,YER064C,19,YER064C,VHR2
3780,YER066CA,#N/A-nc,,
3781,YER066W,#N/A-nc,,
3782,YER067W,25,YER067W,RGI1
3783,YER071C,#N/A-nc,,
3784,YER072W,11,YER072W,VTC1
3785,YER073W,11,YER073W,ALD5
3786,YER076C,14,YER076C,
3787,YER077C,44,YER077C,MRX1
3788,YER078C,14,YER078C,ICP55
3789,YER079W,19,YER079W,
3790,YER080W,15,YER080W,AIM9
3791,YER081W,#N/A-se,,
3792,YER082C,15,YER082C,UTP7
3793,YER083C,18,YER083C,GET2
3794,YER084W,29,YER084W,
3795,YER085C,16,YER085C,
3796,YER087W,10,YER087W,AIM10
3797,YER092W,17,YER092W,IES5
3798,YER093C,15,YER093C,TSC11
3799,YER093CA,15,,
3800,YER097W,#N/A-nc,,
3801,YER104W,18,YER104W,RTT105
3802,YER106W,14,YER106W,MAM1
3803,YER109C,16,YER109C,FLO8
3804,YER113C,14,YER113C,TMN3
3805,YER116C,#N/A-se,,
3806,YER119C,20,YER119C,AVT6
3807,YER119CA,45,,
3808,YER121W,17,YER121W,
3809,YER124C,10,YER124C,DSE1
3810,YER126C,10,YER126C,NSA2
3811,YER128W,11,YER128W,VFA1
3812,YER130C,17,YER130C,COM2
3813,YER134C,21,YER134C,
3814,YER135C,19,YER135C,
3815,YER137C,9,YER137C,
3816,YER138C,15,YER138C,
3817,YER139C,16,YER139C,RTR1
3818,YER140W,21,YER140W,EMP65
3819,YER146W,9,YER146W,LSM5
3820,YER147C,14,YER147C,SCC4
3821,YER150W,#N/A-se,,
3822,YER152C,14,YER152C,
3823,YER156C,12,YER156C,
3824,YER157W,23,YER157W,COG3
3825,YER158C,16,YER158C,
3826,YER160C,15,YER160C,
3827,YER163C,18,YER163C,GCG1
3828,YER166W,15,YER166W,DNF1
3829,YER169W,16,YER169W,RPH1
3830,YER174C,13,YER174C,GRX4
3831,YER175C,20,YER175C,TMT1
3832,YER181C,#N/A-nc,,
3833,YER182W,24,YER182W,FMP10
3834,YER183C,21,YER183C,FAU1
3835,YER184C,39,YER184C,TOG1
3836,YER185W,25,YER185W,PUG1
3837,YER186C,11,YER186C,
3838,YER187W,14,YER187W,
3839,YER188W,9,YER188W,
3840,YER189W,13,YER189W,
3841,YER190W,15,YER190W,YRF1-2
3842,YET1,28,,
3843,YFH1,25,,
3844,YFL004W,15,YFL004W,VTC2
3845,YFL006W,19,,
3846,YFL007W,16,YFL007W,BLM10
3847,YFL010C,24,YFL010C,WWM1
3848,YFL012W,37,YFL012W,
3849,YFL013C,21,YFL013C,IES1
3850,YFL013WA,#N/A-nc,,
3851,YFL015C,#N/A-nc,,
3852,YFL017C,10,YFL017C,GNA1
3853,YFL019C,15,YFL019C,
3854,YFL023W,12,YFL023W,BUD27
3855,YFL024C,16,YFL024C,EPL1
3856,YFL027C,14,YFL027C,GYP8
3857,YFL030W,11,YFL030W,AGX1
3858,YFL032W,18,YFL032W,
3859,YFL034W,19,YFL034W,MIL1
3860,YFL035CA,16,,
3861,YFL035CB,16,,
3862,YFL040W,#N/A-se,,
3863,YFL042C,23,YFL042C,LAM5
3864,YFL043C,#N/A-nc,,
3865,YFL044C,21,YFL044C,OTU1
3866,YFL046W,15,YFL046W,FMP32
3867,YFL047W,30,YFL047W,RGD2
3868,YFL049W,32,YFL049W,SWP82
3869,YFL051C,#N/A-nc,,
3870,YFL052W,#N/A-se,,
3871,YFL054C,22,YFL054C,AQY3
3872,YFL056C,20,YFL056C,AAD6
3873,YFL057C,24,,
3874,YFL061W,#N/A-se,,
3875,YFL063W,#N/A-nc,,
3876,YFL064C,17,YFL064C,
3877,YFL065C,17,YFL065C,
3878,YFL066C,13,YFL066C,
3879,YFL067W,#N/A-se,,
3880,YFL068W,#N/A-se,,
3881,YFR001W,11,YFR001W,LOC1
3882,YFR003C,32,YFR003C,YPI1
3883,YFR005C,13,YFR005C,SAD1
3884,YFR006W,16,YFR006W,
3885,YFR007W,19,YFR007W,YFH7
3886,YFR008W,12,YFR008W,FAR7
3887,YFR010W,24,YFR010W,UBP6
3888,YFR011C,13,YFR011C,MIC19
3889,YFR012W,43,YFR012W,DCV1
3890,YFR013W,12,YFR013W,IOC3
3891,YFR016C,16,YFR016C,
3892,YFR017C,28,YFR017C,IGD1
3893,YFR018C,9,YFR018C,
3894,YFR020W,#N/A-nc,,
3895,YFR021W,16,YFR021W,ATG18
3896,YFR022W,23,YFR022W,ROG3
3897,YFR024C,15,,
3898,YFR024CA,14,,
3899,YFR026C,16,YFR026C,ULI1
3900,YFR027W,13,YFR027W,ECO1
3901,YFR031CA,12,,
3902,YFR032C,#N/A-nc,,
3903,YFR035C,13,YFR035C,
3904,YFR038W,9,YFR038W,IRC5
3905,YFR039C,27,YFR039C,OSW7
3906,YFR041C,22,YFR041C,ERJ5
3907,YFR042W,22,YFR042W,KEG1
3908,YFR043C,14,YFR043C,IRC6
3909,YFR044C,19,YFR044C,DUG1
3910,YFR045W,19,YFR045W,
3911,YFR046C,19,YFR046C,CNN1
3912,YFR047C,14,YFR047C,BNA6
3913,YFR048W,24,YFR048W,RMD8
3914,YFR054C,#N/A-nc,,
3915,YFR055W,15,YFR055W,IRC7
3916,YFR056C,#N/A-se,,
3917,YFR057W,45,YFR057W,
3918,YGL001C,12,YGL001C,ERG26
3919,YGL002W,19,YGL002W,ERP6
3920,YGL004C,17,YGL004C,RPN14
3921,YGL005C,15,YGL005C,COG7
3922,YGL007W,#N/A-se,,
3923,YGL010W,#N/A-nc,,
3924,YGL014W,19,YGL014W,PUF4
3925,YGL015C,18,YGL015C,
3926,YGL020C,14,YGL020C,GET1
3927,YGL023C,14,YGL023C,PIB2
3928,YGL024W,29,YGL024W,
3929,YGL028C,7,YGL028C,SCW11
3930,YGL029W,10,YGL029W,CGR1
3931,YGL034C,#N/A-se,,
3932,YGL036W,35,YGL036W,
3933,YGL037C,52,YGL037C,PNC1
3934,YGL039W,14,YGL039W,
3935,YGL041C,15,YGL041C,
3936,YGL042C,17,YGL042C,
3937,YGL045W,28,YGL045W,RIM8
3938,YGL046W,#N/A-nc,,
3939,YGL047W,19,YGL047W,ALG13
3940,YGL050W,13,YGL050W,TYW3
3941,YGL051W,#N/A-nc,,
3942,YGL052W,25,YGL052W,
3943,YGL053W,#N/A-nc,,
3944,YGL054C,13,YGL054C,ERV14
3945,YGL056C,13,YGL056C,SDS23
3946,YGL057C,13,YGL057C,GEP7
3947,YGL059W,#N/A-nc,,
3948,YGL060W,15,YGL060W,YBP2
3949,YGL064C,13,YGL064C,MRH4
3950,YGL066W,#N/A-nc,,
3951,YGL067W,19,YGL067W,NPY1
3952,YGL068W,12,YGL068W,MNP1
3953,YGL069C,#N/A-se,,
3954,YGL072C,26,YGL072C,
3955,YGL074C,#N/A-se,,
3956,YGL075C,11,YGL075C,MPS2
3957,YGL079W,15,YGL079W,KXD1
3958,YGL080W,18,YGL080W,MPC1
3959,YGL081W,12,YGL081W,
3960,YGL082W,18,YGL082W,
3961,YGL084C,16,YGL084C,GUP1
3962,YGL085W,15,YGL085W,LCL3
